"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
471911,"Carlos Carrasco","FF",296,-0.004,0,-0.004,"Four-Seam FB"
502171,"Alex Cobb","SI",182,-0.004,0,-0.004,"Sinker"
518489,"Ryan Brasier","FF",166,-0.004,0,-0.004,"Four-Seam FB"
519008,"T.J. McFarland","SI",226,-0.004,0,-0.003,"Sinker"
542585,"José Cisnero","FF",112,-0.004,0,-0.003,"Four-Seam FB"
543135,"Nathan Eovaldi","FF",674,-0.004,0,-0.004,"Four-Seam FB"
543766,"Bryan Shaw","FC",177,-0.004,0,-0.003,"Cutter"
547184,"Michael Kelly","FF",128,-0.004,0,-0.004,"Four-Seam FB"
547973,"Aroldis Chapman","FF",387,-0.004,0,-0.004,"Four-Seam FB"
548389,"Ross Stripling","SI",133,-0.004,0,-0.004,"Sinker"
571670,"Dylan Floro","SI",236,-0.004,0,-0.003,"Sinker"
571760,"Andrew Heaney","FF",1250,-0.004,0,-0.003,"Four-Seam FB"
571863,"Matt Koch","FF",116,-0.004,0,-0.003,"Four-Seam FB"
571945,"Miles Mikolas","FF",933,-0.004,0,-0.004,"Four-Seam FB"
592351,"Jon Gray","FF",571,-0.004,0,-0.004,"Four-Seam FB"
592779,"Brock Stewart","FF",247,-0.004,0,-0.003,"Four-Seam FB"
592866,"Trevor Williams","SI",183,-0.004,0,-0.004,"Sinker"
593423,"Frankie Montas","FF",534,-0.004,0,-0.004,"Four-Seam FB"
594902,"Ben Lively","CU",144,-0.004,-0.001,-0.003,"Curveball"
594902,"Ben Lively","SI",491,-0.004,0,-0.004,"Sinker"
595014,"Blake Treinen","SI",180,-0.004,-0.001,-0.003,"Sinker"
605121,"Justin Anderson","FF",152,-0.004,0,-0.004,"Four-Seam FB"
605130,"Scott Barlow","SI",173,-0.004,0,-0.004,"Sinker"
605135,"Chris Bassitt","CU",427,-0.004,-0.001,-0.003,"Curveball"
605452,"Joe Ross","SI",271,-0.004,0,-0.003,"Sinker"
605483,"Blake Snell","FF",746,-0.004,0,-0.004,"Four-Seam FB"
605540,"Brandon Woodruff","FF",345,-0.004,0,-0.004,"Four-Seam FB"
608344,"Cole Irvin","FF",279,-0.004,0,-0.004,"Four-Seam FB"
608372,"Tomoyuki Sugano","SI",187,-0.004,0,-0.004,"Sinker"
608638,"JT Chargois","SI",181,-0.004,0,-0.004,"Sinker"
608650,"Dietrich Enns","FF",188,-0.004,0,-0.004,"Four-Seam FB"
608718,"Brent Suter","FF",504,-0.004,0,-0.004,"Four-Seam FB"
614179,"José Ruiz","SI",126,-0.004,0,-0.004,"Sinker"
615698,"Cal Quantrill","FF",328,-0.004,0,-0.004,"Four-Seam FB"
621016,"Jose Cuas","FF",105,-0.004,-0.001,-0.003,"Four-Seam FB"
621107,"Zach Eflin","SI",522,-0.004,0,-0.004,"Sinker"
621111,"Walker Buehler","SI",233,-0.004,0,-0.004,"Sinker"
621381,"Matt Strahm","SI",193,-0.004,0,-0.004,"Sinker"
622554,"Seranthony Domínguez","FF",444,-0.004,0,-0.004,"Four-Seam FB"
623149,"Paul Sewald","FF",433,-0.004,0,-0.004,"Four-Seam FB"
623433,"Nick Anderson","FF",123,-0.004,0,-0.004,"Four-Seam FB"
624133,"Ranger Suarez","CU",469,-0.004,-0.001,-0.003,"Curveball"
628317,"Kenta Maeda","FF",329,-0.004,0,-0.004,"Four-Seam FB"
628317,"Kenta Maeda","SI",101,-0.004,-0.001,-0.004,"Sinker"
630023,"Yonny Chirinos","SI",175,-0.004,0,-0.003,"Sinker"
640451,"Hunter Harvey","FF",407,-0.004,0,-0.004,"Four-Seam FB"
641329,"Bryan Baker","FF",408,-0.004,0,-0.004,"Four-Seam FB"
